# ts,sessionnum,HR,BR,ST,QTc,Cadence,Shock,QOS,FF QOS,Afib,Active Calories,Stress,Power
0,0,54,13,60,411,127,4,95,90,6,0,24,103424
20000,1,77,23,70,456,87,48,95,87,6,0,20,108544
41000,2,70,25,50,440,81,4,95,84,1,0,34,124928
61000,3,69,18,70,436,0,0,95,82,1,0,43,208896
81000,4,68,16,60,433,53,98,95,88,6,0,31,92160
101000,5,61,13,70,432,0,0,95,88,1,0,33,68608
121000,6,59,15,70,441,0,0,95,85,1,0,33,71680
141000,7,59,12,50,403,0,0,95,92,6,0,33,93184
161000,8,59,12,50,404,0,0,95,90,6,0,2,83968
181000,9,60,11,40,404,0,0,95,91,6,0,2,76800
201000,10,63,12,70,389,0,0,95,87,4,0,3,107520
221000,11,56,12,70,400,0,0,95,91,1,0,17,94208
242000,12,58,11,70,419,0,0,95,88,1,0,25,77824
262000,13,60,13,60,422,0,0,95,91,1,0,21,83968
282000,14,57,11,70,404,0,0,95,93,6,0,14,73728
302000,15,56,11,60,411,0,0,95,93,6,0,16,68608
322000,16,58,12,70,423,0,0,95,93,1,0,24,70656
342000,17,58,13,60,409,0,0,95,92,1,0,10,73728
362000,18,63,14,50,453,0,0,95,90,1,0,7,98304
382000,19,78,15,70,478,115,78,95,88,6,0,16,129024
402000,20,73,14,70,452,95,8,95,91,6,0,41,115712
422000,21,64,14,80,415,0,0,95,93,6,0,30,116736
443000,22,70,13,50,435,99,50,95,90,1,0,29,116736
463000,23,63,13,60,394,0,0,95,91,6,0,9,114688
483000,24,53,13,50,410,0,0,95,92,6,0,8,91136
503000,25,57,14,50,423,0,0,95,91,1,0,17,101376
523000,26,54,13,60,430,0,0,95,92,1,0,19,104448
543000,27,55,12,60,437,0,0,95,92,1,0,21,106496
563000,28,56,11,50,426,0,0,95,92,1,0,22,90112
583000,29,57,11,60,439,0,0,95,93,1,0,22,88064
603000,30,57,10,60,424,0,0,95,93,1,0,23,92160
623000,31,58,11,50,448,0,0,95,92,1,0,28,96256
644000,32,58,12,50,437,0,0,95,93,1,0,31,102400
664000,33,56,12,50,432,0,0,95,92,1,0,29,87040
684000,34,58,12,50,434,0,0,95,92,1,0,24,91136
704000,35,55,11,60,444,0,0,95,92,1,0,24,93184
724000,36,56,11,60,447,0,0,95,93,1,0,23,91136
744000,37,56,11,50,445,0,0,95,92,1,0,25,77824
764000,38,57,14,50,445,0,0,95,89,1,0,25,103424
