# ts,sessionnum,Breath Rate,Heart Rate,ST Change,Cadence,Body Power,Body Shock,Altitude,UGE,HRV,PEP,LVET,QOS,Device QTc,Device BR,Device HR,Device ST,Device Cadence,Device Shock,FF QOS,Device Afib,Device Calories,Device Stress,Device Power,ACCY values
0,0,0,0,0,0,0,0,9027,0,0,0,0,50,499,19,0,0,20,142,49,1,0,0,148480,-238
20000,1,4,48,26,0,0,0,20437,0,61,42,0,50,391,25,47,40,0,0,89,1,0,0,108544,162
40000,2,8,46,12,0,0,0,16722,0,63,44,0,50,406,24,46,50,0,0,89,1,0,0,110592,172
60000,3,7,45,1,0,0,0,20748,0,59,42,0,95,415,11,46,40,0,0,90,1,0,8,104448,175
81000,4,11,45,21,0,0,0,16189,0,45,44,0,95,415,12,45,50,0,0,91,1,0,11,95232,176
101000,5,13,44,19,0,0,0,20836,0,46,43,0,95,411,12,44,50,0,0,91,1,0,11,109568,179
121000,6,10,46,23,0,0,0,19929,0,46,43,0,95,426,11,46,40,0,0,91,1,0,11,87040,180
141000,7,13,46,16,0,0,0,20842,0,41,41,0,95,419,12,46,40,0,0,86,1,0,13,117760,180
161000,8,8,47,21,0,0,0,16721,0,40,44,0,95,431,11,46,40,0,0,91,1,0,13,113664,181
181000,9,11,47,15,0,0,0,20761,0,39,43,0,95,452,11,47,40,0,0,91,1,0,13,94208,182
201000,10,14,45,9,0,0,0,16196,0,40,42,0,95,424,10,46,30,0,0,91,1,0,13,98304,182
221000,11,11,46,10,0,0,0,20847,0,40,46,0,95,449,10,46,30,0,0,90,1,0,13,94208,183
241000,12,11,46,12,0,0,0,19781,0,38,43,0,95,433,12,46,30,0,0,91,1,0,14,98304,184
261000,13,4,44,13,0,0,0,20778,0,45,43,0,95,437,15,46,30,0,0,91,1,0,11,90112,184
282000,14,4,46,4,0,0,0,16932,0,55,43,0,95,451,14,45,30,0,0,91,1,0,8,82944,185
302000,15,9,46,9,0,0,0,20758,0,52,43,0,95,446,13,46,30,0,0,84,1,0,9,91136,185
322000,16,4,45,21,0,0,0,15989,0,47,44,0,95,437,13,45,20,0,0,86,1,0,9,91136,185
342000,17,12,46,18,0,0,0,17616,0,66,45,0,95,448,12,46,20,0,0,80,1,0,6,92160,193
362000,18,4,48,17,0,0,0,19364,0,73,43,0,95,455,11,50,40,0,0,89,3,0,6,54272,237
382000,19,7,43,7,0,0,0,20834,0,58,44,0,95,435,11,44,20,0,0,91,3,0,8,62464,239
402000,20,6,45,9,0,0,0,16972,0,62,41,0,95,431,13,45,20,0,0,87,1,0,7,64512,238
422000,21,3,44,9,0,0,0,20763,0,78,43,0,95,427,13,43,30,0,0,85,1,0,3,62464,236
442000,22,9,45,10,0,0,0,16002,0,70,44,0,95,431,13,45,30,0,0,90,1,0,5,71680,236
462000,23,8,46,9,0,0,0,20771,0,55,43,0,95,440,12,46,40,0,0,90,1,0,8,70656,237
483000,24,4,47,6,0,0,0,19394,0,58,42,0,95,445,12,47,30,0,0,91,1,0,7,62464,237
503000,25,4,44,5,0,0,0,20673,0,65,41,0,95,432,12,47,20,0,0,85,1,0,6,68608,236
523000,26,7,47,9,0,0,0,17104,0,61,43,0,95,446,12,46,30,0,0,85,1,0,7,66560,236
543000,27,7,46,8,0,0,0,20814,0,56,40,0,95,441,12,48,30,0,0,91,1,0,8,68608,236
563000,28,10,46,11,0,0,0,15909,0,59,45,0,95,451,12,44,30,0,0,90,1,0,7,71680,235
583000,29,13,46,5,0,0,0,20731,0,58,44,0,95,445,13,47,30,0,0,90,1,0,8,74752,236
603000,30,14,46,-7,0,0,0,19235,0,56,41,0,95,458,12,46,30,0,0,84,1,0,9,68608,235
623000,31,0,48,-1,0,0,0,20763,0,82,45,0,95,453,12,47,30,0,0,90,1,0,3,76800,235
643000,32,12,46,9,0,0,0,17213,0,83,41,0,95,446,13,45,20,0,0,91,1,0,3,64512,236
663000,33,10,45,6,0,0,0,20671,0,52,43,0,95,430,12,45,20,0,0,90,1,0,9,79872,237
