RR interval (ms)
1384
936
992
1008
960
1016
640
1432
944
1000
976
928
936
992
936
920
824
888
528
1256
728
832
544
1064
600
936
720
744
768
784
800
832
856
904
552
1272
872
896
528
1296
584
1160
856
1752
1000
1040
464
648
1000
1088
1104
1080
1056
1024
960
976
944
904
904
920
936
928
912
928
816
896
872
456
664
712
896
920
976
1016
480
584
968
1032
528
584
944
968
976
888
880
912
896
872
800
464
1360
872
904
536
576
704
1832
856
840
856
920
576
1296
512
1304
952
888
896
904
560
2024
872
872
872
560
1296
904
920
496
664
760
984
992
1056
1048
536
568
1000
1024
1032
1040
512
576
848
1000
560
656
440
1320
952
936
944
952
968
968
960
936
480
544
880
536
1296
896
920
464
544
840
