# ts,sessionnum,Breath Rate,Heart Rate,ST Change,Cadence,Body Power,Body Shock,Altitude,UGE,HRV,PEP,LVET,QOS,Device QTc,Device BR,Device HR,Device ST,Device Cadence,Device Shock,FF QOS,Device Afib,Device Calories,Device Stress,Device Power,ACCY values
0,0,0,0,0,0,0,0,6371,0,0,0,0,50,256,0,0,0,108,28,0,0,0,0,138240,-944
20000,1,0,0,0,0,0,0,4119,0,0,0,0,50,256,0,78,0,119,26,0,0,0,0,180224,-954
40000,2,0,0,0,0,0,0,3777,0,0,0,0,50,392,0,0,0,119,28,46,1,0,0,205824,-908
60000,3,0,0,0,0,0,0,3777,0,0,0,0,50,256,0,0,0,119,30,0,1,0,0,195584,-963
80000,4,0,0,0,0,0,0,3777,0,0,0,0,84,480,30,166,-250,128,42,84,1,0,0,175104,-958
100000,5,33,168,-22,0,0,0,3777,0,0,43,0,50,478,37,86,-250,176,150,74,0,0,0,258048,-985
120000,6,22,89,-127,0,0,0,3777,0,0,36,0,50,450,32,86,-250,174,142,83,0,0,0,261120,-972
140000,7,3,85,-140,0,0,0,3777,0,0,35,0,50,256,0,87,0,171,156,0,5,0,0,261120,-974
161000,8,0,0,0,0,0,0,3777,0,0,0,0,50,256,0,85,0,170,150,0,5,0,0,261120,-974
181000,9,0,0,0,0,0,0,3777,0,0,0,0,50,463,35,164,-10,169,150,52,5,0,0,261120,-970
201000,10,0,0,0,0,0,0,3777,0,0,0,0,50,256,0,91,0,174,150,0,1,0,0,261120,-974
221000,11,0,0,0,0,0,0,3777,0,0,0,0,50,256,0,88,0,174,170,0,1,0,0,252928,-972
241000,12,0,0,0,0,0,0,3777,0,0,0,0,50,256,0,165,0,176,146,0,1,0,0,261120,-977
261000,13,0,0,0,0,0,0,3777,0,0,0,0,50,256,0,119,0,171,146,0,1,0,0,261120,-982
281000,14,0,0,0,0,0,0,3777,0,0,0,0,50,256,0,109,0,174,148,0,1,0,0,261120,-976
301000,15,0,0,0,0,0,0,3777,0,0,0,0,50,256,0,122,0,174,142,0,1,0,0,260096,-973
321000,16,0,0,0,0,0,0,3777,0,0,0,0,50,395,38,121,80,176,144,63,1,0,0,261120,-977
341000,17,0,0,0,0,0,0,3777,0,0,0,0,50,256,0,115,0,176,150,0,1,0,0,247808,-973
362000,18,0,0,0,0,0,0,3777,0,0,0,0,50,256,0,121,0,171,164,0,1,0,0,259072,-972
382000,19,0,0,0,0,0,0,3777,0,0,0,0,50,478,37,150,-50,174,136,65,1,0,0,252928,-973
402000,20,0,0,0,0,0,0,3777,0,0,0,0,50,420,34,169,0,176,150,55,1,0,0,261120,-973
422000,21,0,0,0,0,0,0,3777,0,0,0,0,50,256,0,128,0,173,156,0,1,0,0,261120,-976
442000,22,0,0,0,0,0,0,3777,0,0,0,0,50,360,37,117,0,174,154,63,1,0,0,261120,-984
462000,23,0,0,0,0,0,0,3777,0,0,0,0,50,378,30,136,0,173,166,56,1,0,0,259072,-970
482000,24,0,0,0,0,0,0,3777,0,0,0,0,50,450,33,126,0,176,144,66,1,0,0,251904,-975
502000,25,28,128,122,0,0,0,3777,0,0,48,0,50,400,33,124,-20,174,106,60,1,0,0,208896,-975
522000,26,12,113,153,0,0,0,4414,0,0,50,0,50,385,30,110,250,117,24,75,1,0,0,142336,-965
542000,27,0,0,0,0,0,0,5309,0,0,0,0,50,382,30,110,130,119,10,80,1,0,0,149504,-965
563000,28,0,0,0,0,0,0,3777,0,0,0,0,50,366,27,106,140,119,22,86,4,0,0,261120,-959
583000,29,0,0,0,0,0,0,5129,0,0,0,0,50,397,26,96,200,118,24,85,6,0,0,147456,-958
603000,30,0,0,0,0,0,0,4407,0,0,0,0,50,428,22,96,200,118,30,89,6,0,0,144384,-967
623000,31,0,0,0,0,0,0,3777,0,0,0,0,50,407,24,98,180,132,48,87,6,0,0,221184,-969
643000,32,0,0,0,0,0,0,3777,0,0,0,0,50,435,24,98,0,179,152,70,4,0,0,242688,-974
663000,33,0,0,0,0,0,0,3777,0,0,0,0,50,467,27,107,180,179,148,71,4,0,0,242688,-973
683000,34,16,116,193,0,0,0,3777,0,0,51,0,50,484,27,121,240,179,150,75,1,0,0,261120,-986
703000,35,23,123,149,0,0,0,3777,0,0,49,0,50,465,30,126,250,179,150,75,5,0,0,261120,-970
723000,36,22,125,163,0,0,0,3777,0,0,48,0,50,416,29,128,200,179,142,80,5,0,0,261120,-968
743000,37,14,128,136,0,0,0,3777,0,0,51,0,50,390,32,127,0,179,152,68,1,0,0,261120,-980
764000,38,22,126,109,0,0,0,3777,0,0,53,0,50,409,31,115,0,179,146,57,1,0,0,261120,-977
784000,39,25,126,73,0,0,0,3777,0,0,49,0,50,419,31,125,130,179,152,74,1,0,0,261120,-970
804000,40,28,127,76,0,0,0,3777,0,0,47,0,50,420,32,128,0,179,164,70,1,0,0,261120,-977
824000,41,19,127,121,0,0,0,3777,0,0,50,0,50,384,32,129,0,179,156,73,1,0,0,261120,-983
844000,42,17,127,134,0,0,0,3777,0,0,50,0,50,428,29,0,0,179,146,62,1,0,0,261120,-969
864000,43,24,127,58,0,0,0,3777,0,0,52,0,50,382,29,128,0,179,150,63,1,0,0,261120,-971
884000,44,25,127,98,0,0,0,3777,0,0,48,0,50,428,28,132,0,179,148,66,1,0,0,261120,-974
904000,45,17,127,90,0,0,0,3777,0,0,49,0,50,349,31,128,100,179,148,71,1,0,0,261120,-979
