# ts,sessionnum,HR,BR,ST,QTc,Cadence,Shock,QOS,FF QOS,Afib,Active Calories,Stress,Power
0,0,50,24,70,410,0,0,95,91,6,0,27,111616
20000,1,46,23,80,396,0,0,95,91,1,0,7,131072
40000,2,46,24,60,403,0,0,95,85,3,0,2,141312
60000,3,50,15,60,414,0,0,95,91,3,0,7,142336
81000,4,50,13,60,413,0,0,95,91,1,0,18,134144
101000,5,49,13,50,405,0,0,95,92,3,0,15,140288
121000,6,48,14,50,415,0,0,95,92,3,0,14,141312
141000,7,50,13,60,414,0,0,95,89,3,0,3,129024
161000,8,49,14,60,412,0,0,95,92,3,0,3,133120
181000,9,50,15,60,413,0,0,95,91,3,0,15,134144
201000,10,50,14,50,417,0,0,95,86,3,0,14,125952
221000,11,49,13,40,412,0,0,95,92,3,0,15,126976
241000,12,50,13,40,418,0,0,95,91,3,0,15,129024
261000,13,51,14,40,419,0,0,95,92,3,0,16,114688
282000,14,50,13,50,415,0,0,95,91,3,0,19,118784
302000,15,49,14,40,411,0,0,95,85,3,0,17,128000
322000,16,49,12,50,413,0,0,95,91,3,0,13,121856
342000,17,51,13,50,419,0,0,95,92,1,0,8,126976
362000,18,50,15,40,417,0,0,95,92,1,0,9,116736
382000,19,50,14,40,414,0,0,95,91,3,0,13,114688
402000,20,52,14,40,421,0,0,95,92,3,0,11,123904
422000,21,57,15,30,432,0,0,95,92,3,0,16,122880
442000,22,56,14,40,424,0,0,95,92,1,0,22,139264
462000,23,53,13,50,415,0,0,95,92,1,0,18,133120
483000,24,50,13,60,418,0,0,95,91,1,0,11,125952
503000,25,50,13,30,413,0,0,95,92,3,0,10,117760
523000,26,49,12,30,414,0,0,95,89,3,0,6,114688
543000,27,50,13,50,417,0,0,95,91,3,0,5,116736
563000,28,50,14,30,411,0,0,95,91,3,0,10,114688
583000,29,51,14,40,411,0,0,95,91,3,0,9,115712
603000,30,50,14,50,406,0,0,95,91,3,0,9,122880
623000,31,51,13,50,420,0,0,95,91,3,0,10,105472
643000,32,51,14,50,419,0,0,95,92,1,0,11,125952
663000,33,49,15,60,420,0,0,95,90,1,0,10,124928
