# ts,sessionnum,HR,BR,ST,QTc,Cadence,Shock,QOS,FF QOS,Afib,Active Calories,Stress,Power
2050000,102,57,13,50,421,0,0,95,92,1,0,21,109568
2071000,103,55,14,50,425,0,0,95,91,1,0,20,86016
2091000,104,55,15,50,432,0,0,95,91,1,0,18,93184
2111000,105,58,18,50,427,0,0,95,90,1,0,16,102400
2131000,106,56,15,50,431,0,0,95,92,1,0,18,105472
2151000,107,55,13,40,431,0,0,95,91,1,0,16,113664
2171000,108,58,14,50,458,0,0,95,92,1,0,18,123904
2191000,109,62,13,50,447,0,0,95,93,1,0,29,115712
2211000,110,60,13,50,425,0,0,95,92,1,0,23,95232
2231000,111,59,16,40,437,0,0,95,81,1,0,23,90112
2251000,112,56,14,50,404,0,0,95,92,6,0,14,93184
2272000,113,55,14,50,399,0,0,95,91,6,0,15,97280
2292000,114,55,13,60,393,0,0,95,91,1,0,17,107520
2312000,115,53,13,60,395,0,0,95,91,1,0,13,117760
2332000,116,57,15,40,437,0,0,95,86,1,0,17,124928
2352000,117,57,14,40,439,0,0,95,92,1,0,22,115712
2372000,118,56,15,70,437,69,2,95,91,1,0,21,144384
2392000,119,56,14,60,428,63,114,95,92,1,0,21,162816
2412000,120,56,15,40,438,26,140,95,92,1,0,19,161792
2432000,121,55,14,40,412,0,0,95,92,1,0,17,121856
2452000,122,55,16,50,442,0,0,95,92,1,0,17,130048
2473000,123,57,16,60,432,31,98,95,92,1,0,17,143360
2493000,124,57,17,50,439,76,50,95,84,1,0,12,165888
2513000,125,55,17,40,414,0,0,95,91,1,0,11,143360
2533000,126,55,18,70,426,33,62,95,89,1,0,15,154624
2553000,127,58,16,20,406,0,0,95,80,6,0,11,119808
2573000,128,56,16,0,477,103,12,85,57,6,0,11,119808
2593000,129,0,19,0,482,104,32,50,64,1,0,0,132096
2613000,130,72,20,40,451,103,28,95,75,0,0,4,131072
2633000,131,74,16,60,463,103,22,95,86,0,0,41,119808
2653000,132,68,16,150,435,100,30,95,88,6,0,36,120832
2674000,133,67,17,60,488,0,0,95,91,6,0,31,117760
2694000,134,69,18,60,511,0,0,95,90,6,0,28,114688
2714000,135,74,20,80,407,74,6,95,90,6,0,25,112640
2734000,136,65,17,70,354,0,0,95,88,6,0,18,68608
2754000,137,66,15,80,425,0,0,95,89,6,0,25,90112
2774000,138,65,13,70,430,0,0,95,91,1,0,28,73728
2794000,139,69,12,60,462,0,0,95,92,6,0,34,73728
2814000,140,70,14,60,444,0,0,95,93,6,0,41,79872
2834000,141,67,13,60,429,0,0,95,92,6,0,31,84992
2854000,142,62,12,60,430,0,0,95,93,1,0,25,84992
2875000,143,66,12,60,439,0,0,95,91,1,0,38,94208
2895000,144,67,13,60,426,0,0,95,92,6,0,37,78848
2915000,145,63,13,70,427,0,0,95,93,1,0,27,82944
2935000,146,67,15,60,449,0,0,95,93,1,0,21,112640
2955000,147,69,14,70,459,0,0,95,86,6,0,34,81920
2975000,148,69,13,60,465,0,0,95,88,6,0,19,107520
2995000,149,71,11,60,450,0,0,95,92,6,0,21,112640
3015000,150,63,11,50,422,0,0,95,93,6,0,17,67584
3035000,151,62,12,60,424,0,0,95,92,1,0,26,70656
3055000,152,64,14,60,437,0,0,95,91,1,0,31,108544
3076000,153,62,10,50,411,0,0,95,87,1,0,7,102400
3096000,154,61,10,60,417,0,0,95,93,6,0,6,97280
3116000,155,64,13,60,448,0,0,95,92,6,0,24,69632
3136000,156,67,15,60,445,0,0,95,85,6,0,25,70656
3156000,157,67,13,60,371,0,0,85,91,6,0,25,78848
3176000,158,65,13,60,427,0,0,95,89,6,0,34,69632
3196000,159,66,13,60,445,0,0,95,89,1,0,43,86016
3216000,160,66,14,70,437,0,0,95,87,1,0,40,93184
3236000,161,66,11,60,429,0,0,95,91,1,0,26,103424
3256000,162,57,11,60,391,0,0,95,86,4,0,10,109568
3277000,163,66,13,60,408,100,10,95,92,6,0,16,113664
