# ts,sessionnum,HR,BR,ST,QTc,Cadence,Shock,QOS,FF QOS,Afib,Active Calories,Stress,Power
0,0,60,25,0,511,194,68,95,69,1,0,15,141312
20000,1,64,17,140,437,101,22,50,73,1,0,0,200704
40000,2,88,20,40,471,99,22,95,87,6,0,22,131072
60000,3,98,23,0,454,94,12,95,66,6,0,67,126976
80000,4,102,21,80,462,94,2,95,81,5,0,88,141312
101000,5,108,22,90,464,93,10,95,87,1,0,88,140288
121000,6,111,23,120,458,92,16,95,80,1,0,88,146432
141000,7,111,23,70,441,96,20,95,77,5,0,88,147456
161000,8,109,21,100,436,94,2,95,77,5,0,88,135168
181000,9,108,21,60,430,91,10,95,76,5,0,92,131072
201000,10,103,24,110,421,89,12,95,75,5,0,26,125952
221000,11,109,22,70,416,85,14,85,76,1,0,26,120832
241000,12,106,23,0,438,82,4,95,69,1,0,26,261120
261000,13,107,24,80,427,82,28,95,85,5,0,65,118784
281000,14,110,26,90,433,85,16,95,83,5,0,87,140288
302000,15,110,28,130,437,78,4,95,75,5,0,83,145408
322000,16,112,28,90,426,78,16,95,90,5,0,39,166912
342000,17,110,28,110,417,81,44,95,77,5,0,40,139264
362000,18,111,29,100,432,81,42,95,81,5,0,40,144384
382000,19,117,27,0,447,91,2,85,67,5,0,40,133120
402000,20,117,26,170,416,90,30,95,76,1,0,40,136192
422000,21,118,29,110,420,85,22,95,83,1,0,56,126976
442000,22,113,29,90,401,103,18,95,84,1,0,32,136192
462000,23,107,26,140,387,111,14,95,79,5,0,23,164864
482000,24,98,23,100,405,108,16,95,78,5,0,13,133120
503000,25,102,24,120,415,107,12,95,81,5,0,18,143360
523000,26,100,26,70,418,112,14,95,90,5,0,23,145408
543000,27,102,22,150,423,107,18,95,89,5,0,23,140288
563000,28,103,26,70,436,118,18,95,83,5,0,33,162816
583000,29,100,24,80,442,112,16,95,80,5,0,36,157696
603000,30,101,23,110,410,115,18,95,86,5,0,69,140288
623000,31,101,26,90,431,111,30,95,86,5,0,22,158720
643000,32,99,27,100,415,109,18,95,89,5,0,21,141312
663000,33,103,28,120,442,112,14,95,90,5,0,29,144384
683000,34,104,27,110,433,109,10,95,87,5,0,55,146432
704000,35,98,28,110,420,106,6,95,92,5,0,31,212992
724000,36,102,27,110,423,103,6,95,93,5,0,58,174080
744000,37,99,29,90,449,109,22,95,85,5,0,92,130048
764000,38,103,29,120,435,107,26,95,91,5,0,34,151552
784000,39,99,29,90,436,106,16,95,92,5,0,57,140288
